#! IncludeId
# This file contains a set of usable item effects.
# -----------------------------------------------
# Id;Targets;DefaultAlly;Display;AnimationId;Dead;DefaultDead;ScriptId;Power;Rate;Element;Status
# Int32;UInt8;Bit;UInt8;Int16;Bit;Bit;Int32;Int32;Int32;UInt8;UInt32
# -----------------------------------------------
10013;2;0;0;0;0;0;10003;500;0;0;0;# 10013 - Grenade
10014;2;0;0;0;0;0;10003;1000;0;0;0;# 10014 - Fire Grenade
10015;2;0;0;0;0;0;10003;1000;0;0;0;# 10015 - Ice Grenade
10016;2;0;0;0;0;0;10003;1000;0;0;0;# 10016 - Thunder Grenade
10017;2;0;0;0;0;0;10003;1000;0;0;0;# 10017 - Earth Grenade
10018;2;0;0;0;0;0;10003;1000;0;0;0;# 10018 - Water Grenade
10019;2;0;0;0;0;0;10003;1000;0;0;0;# 10019 - Wind Grenade
10020;2;0;0;0;0;0;10003;1000;0;0;0;# 10020 - Holy Grenade
10021;2;0;0;0;0;0;10003;1000;0;0;0;# 10021 - Shadow Grenade
10028;2;0;0;0;0;0;10003;750;0;0;1;# 10028 - Petrify Grenade
10029;2;0;0;0;0;0;10003;750;0;0;8;# 10029 - Silence Grenade
10030;2;0;0;0;0;0;10003;750;0;0;16;# 10030 - Smoke Bomb
10031;2;0;0;0;0;0;10003;750;0;0;32;# 10031 - Trouble Bomb
10032;2;0;0;0;0;0;10003;750;0;0;65536;# 10032 - Poison Grenade
10033;2;0;0;0;0;0;10003;750;0;0;131072;# 10033 - Sleeping Powder
