# This file contains a set of learnable abilities for a custom character.
# -----------------------------------
# Id;AP
# Ability;UInt8
# -----------------------------------
AA:25;20;# Fire
AA:26;40;# Fira
AA:27;80;# Firaga
AA:29;25;# Blizzard
AA:30;35;# Blizzara
AA:31;90;# Blizzaga
AA:33;15;# Thunder
AA:34;25;# Thundara
AA:35;80;# Thundaga
AA:10002;20;# Aero
AA:10003;40;# Aera
AA:10004;80;# Aeraga
AA:45;35;# Water
AA:10000;80;# Waterga
AA:10001;50;# Earthquake
AA:10005;100;# Rainbow Wind
AA:7;15;# Scan
AA:16;35;# Reflect
SA:0;70;# Auto-Reflect
SA:1;25;# Auto-Float
SA:2;65;# Auto-Haste
SA:3;35;# Auto-Regen
SA:4;100;# Auto-Life
SA:6;60;# HP+20%
SA:8;50;# MP+20%
SA:10;30;# Distract
SA:11;65;# Long Reach
SA:12;50;# MP Attack
SA:19;55;# Beast Killer
SA:20;20;# Man Eater
SA:24;20;# Healer
SA:27;20;# Chemist
SA:33;90;# Concentrate
SA:34;120;# Half MP
SA:35;30;# High Tide
SA:36;100;# Counter
SA:39;35;# Eye 4 Eye
SA:40;20;# Body Temp
SA:41;25;# Alert
SA:43;65;# Level Up
SA:44;55;# Ability Up
SA:45;35;# Millionaire
SA:48;25;# Insomniac
SA:49;20;# Antibody
SA:50;20;# Bright Eyes
SA:51;15;# Loudmouth
SA:52;55;# Restore HP
SA:53;35;# Jelly
SA:56;30;# Auto-Potion
SA:57;15;# Locomotion
SA:58;15;# Clear Headed
SA:10000;60;# Adversity
