#! IncludeId
# This file contains character command sets.
# -----------------------------------------------
# Id;Regular 1;Regular 2;Trance 1;Trance 2
# Int32;Int32;Int32;Int32;Int32
# -----------------------------------------------
20;10003;10007;10004;10007;# Command set 20: Sorcery, Summon, Sorcery, Summon
21;10005;27;10006;27;# Command set 21: Rampage, Dragon, Rampage, Dragon
22;10000;10002;10000;10002;# Command set 22: Grn Mag, Hunt, Grn Mag, Hunt
23;10008;10009;10008;10010;# Command set 23: Bladecraft, Enrage, Bladecraft, Warcry
24;10011;10012;10011;10013;# Command set 24: Strategy, Javelin, Strategy, Spear Raid
25;10014;10015;10014;10016;# Command set 25: Talon Art, Grenade, Talon Art, Bombard
26;10017;10018;10017;10018;# Command set 26: Glacial Arts, Mark, Glacial Arts, Mark
27;10019;10020;10019;10021;# Command set 27: Debilitate, Exploit, Debilitate, Exploit+
28;10022;10024;10023;10024;# Command set 28: Dance, Repose, Dbl Dance, Repose
29;10025;13;10026;13;# Command set 29: Red Mag, Focus, Dbl Red Mag, Focus
30;10027;15;10028;15;# Command set 30: Shinobi, Throw, Ninja, Throw
