# This file contains a set of learnable abilities for a custom character.
# -----------------------------------
# Id;AP
# Ability;UInt8
# -----------------------------------
AA:10012;35;# Weighted Strike
AA:10013;40;# Cleave
AA:10014;25;# Battle Salve
AA:141;50;# Darkside
AA:10015;45;# Tactical Retreat
AA:10016;35;# Loose Grip
AA:149;60;# Thunder Slash
AA:10017;100;# Earthsplitter
SA:0;95;# Auto-Reflect
SA:1;20;# Auto-Float
SA:2;65;# Auto-Haste
SA:3;75;# Auto-Regen
SA:4;155;# Auto-Life
SA:5;20;# HP+10%
SA:6;60;# HP+20%
SA:9;40;# Accuracy+
SA:10;35;# Distract
SA:11;200;# Long Reach
SA:12;50;# MP Attack
SA:13;14;# Bird Killer
SA:14;50;# Bug Killer
SA:15;20;# Stone Killer
SA:16;30;# Undead Killer
SA:18;30;# Devil Killer
SA:19;55;# Beast Killer
SA:20;20;# Man Eater
SA:25;50;# Add Status
SA:27;30;# Chemist
SA:35;50;# High Tide
SA:36;125;# Counter
SA:39;55;# Eye 4 Eye
SA:40;35;# Body Temp
SA:41;60;# Alert
SA:43;60;# Level Up
SA:44;80;# Ability Up
SA:46;45;# Flee-Gil
SA:48;25;# Insomniac
SA:49;35;# Antibody
SA:50;40;# Bright Eyes
SA:52;175;# Restore HP
SA:53;30;# Jelly
SA:56;45;# Auto-Potion
SA:57;35;# Locomotion
SA:58;35;# Clear Headed
0;0;# Void
0;0;# Void
0;0;# Void
0;60;# Void
