#! IncludeId
#! IncludeAuxiliaryIds
# This file contains a set of game items.
# -----------------------------------------------
# Id;WeaponId;ArmorId;EffectId;Price;GraphicsId;ColorId;Quality;BonusId;AbilityIds;Weapon;Armlet;Helmet;Armor;Accessory;Item;Gem;Usable;Order;Zidane;Vivi;Garnet;Steiner;Freya;Quina;Eiko;Amarant;Cinna;Marcus;Blank;Beatrix
# Int32;Int32;Int32;Int32;UInt32;UInt8;UInt8;Single;Int32;Ability[];Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Single;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit
# -----------------------------------------------
10000;10000;-1;-1;420;10000;0;1.00;0;AA:7, AA:25, AA:10002;1;0;0;0;0;0;0;0;105.01;0;0;0;0;0;0;0;0;0;0;0;0;# 10000 - Battle Axe
10001;10001;-1;-1;1000;10000;0;1.01;0;SA:10000, AA:30;1;0;0;0;0;0;0;0;105.02;0;0;0;0;0;0;0;0;0;0;0;0;# 10001 - Gem Axe
10002;10002;-1;-1;1500;10000;0;1.02;0;SA:10000, AA:10003, AA:34;1;0;0;0;0;0;0;0;105.03;0;0;0;0;0;0;0;0;0;0;0;0;# 10002 - Peridot Axe
10003;10003;10003;-1;3000;10000;0;1.03;0;AA:16, AA:10001;1;0;0;0;0;0;0;0;105.04;0;0;0;0;0;0;0;0;0;0;0;0;# 10003 - Ruby Axe
10004;10004;-1;-1;6000;10000;0;1.04;0;AA:35, AA:10000, AA:10005;1;0;0;0;0;0;0;0;105.05;0;0;0;0;0;0;0;0;0;0;0;0;# 10004 - Pele
10005;10005;-1;-1;8000;10000;0;1.05;10005;AA:27, AA:31, AA:10004;1;0;0;0;0;0;0;0;105.06;0;0;0;0;0;0;0;0;0;0;0;0;# 10005 - Topaz Axe
10006;10006;-1;-1;10000;10;2;9.01;10006;SA:10000, AA:10009;1;0;0;0;0;0;0;0;99.01;0;0;0;0;0;0;0;0;0;0;0;0;# 10006 - Staff of the Magi
10007;10007;-1;-1;3000;5;0;3.01;0;AA:123, SA:10001;1;0;0;0;0;0;0;0;54.01;0;0;0;0;0;0;0;0;0;0;0;0;# 10007 - Iron Spear
10008;10008;-1;-1;320;5;0;0.99;0;AA:10020;1;0;0;0;0;0;0;0;51.01;0;0;0;0;1;0;0;0;0;0;0;0;# 10008 - Pike
10009;10009;-1;-1;640;5;0;1.00;0;AA:10021;1;0;0;0;0;0;0;0;51.02;0;0;0;0;1;0;0;0;0;0;0;0;# 10009 - Halberd
10010;10010;-1;-1;280;6;0;1.00;0;SA:36, AA:10029;1;0;0;0;0;0;0;0;61.01;0;0;0;0;0;0;0;1;0;0;0;0;# 10010 - Fang Claws
10011;10011;-1;-1;400;6;3;1.01;0;SA:36, AA:10030;1;0;0;0;0;0;0;0;61.02;0;0;0;0;0;0;0;1;0;0;0;0;# 10011 - Iron Claws
10012;10012;-1;-1;1800;6;13;1.02;0;SA:36, AA:10031;1;0;0;0;0;0;0;0;61.03;0;0;0;0;0;0;0;1;0;0;0;0;# 10012 - Blood Rippers
#! IncludeUseCondition
10013;10013;-1;10013;50;10001;0;1.00;0;0;0;0;0;0;0;1;0;0;20.01;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10013 - Grenade
10014;10014;-1;10014;150;10001;1;1.00;0;0;0;0;0;0;0;1;0;0;21.01;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10014 - Fire Grenade
10015;10015;-1;10015;150;10001;2;1.00;0;0;0;0;0;0;0;1;0;0;21.01;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10015 - Ice Grenade
10016;10016;-1;10016;150;10001;3;1.00;0;0;0;0;0;0;0;1;0;0;21.01;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10016 - Thunder Grenade
10017;10017;-1;10017;150;10001;4;1.00;0;0;0;0;0;0;0;1;0;0;21.01;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10017 - Earth Grenade
10018;10018;-1;10018;150;10001;5;1.00;0;0;0;0;0;0;0;1;0;0;21.01;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10018 - Water Grenade
10019;10019;-1;10019;150;10001;6;1.00;0;0;0;0;0;0;0;1;0;0;21.01;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10019 - Wind Grenade
10020;10020;-1;10020;150;10001;7;1.00;0;0;0;0;0;0;0;1;0;0;21.01;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10020 - Holy Grenade
10021;10021;-1;10021;150;10001;8;1.00;0;0;0;0;0;0;0;1;0;0;21.01;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10021 - Shadow Grenade
#! -IncludeUseCondition
10022;10022;-1;-1;1650;1;6;3.01;0;AA:10066;1;0;0;0;0;0;0;0;24.01;1;0;0;0;0;0;0;0;0;0;0;0;# 10022 - Ice Pick
10023;10023;-1;-1;7100;1;6;9.01;0;AA:10064, AA:10067;1;0;0;0;0;0;0;0;26.01;1;0;0;0;0;0;0;0;0;0;0;0;# 10023 - Assassin's Dagger
10024;10024;-1;-1;14500;1;6;13.01;0;AA:10068;1;0;0;0;0;0;0;0;27.01;1;0;0;0;0;0;0;0;0;0;0;0;# 10024 - Valiant Knife
10025;10025;-1;-1;350;7;0;1.00;0;AA:10071, AA:10109, SA:10005;1;0;0;0;0;0;0;0;71.01;0;0;1;0;0;0;1;0;0;0;0;0;# 10025 - Burmecian Racket
10026;10026;-1;-1;12800;7;0;19.01;0;AA:21, AA:10078, AA:10116;1;0;0;0;0;0;0;0;77.01;0;0;1;0;0;0;1;0;0;0;0;0;# 10026 - Cleyran Racket
10027;10027;-1;-1;320;12;0;1.00;0;AA:10082;1;0;0;0;0;0;0;0;105.07;0;0;0;0;0;0;0;0;0;0;0;0;# 10027 - Happo
#! IncludeUseCondition
10028;10028;-1;10028;200;10001;0;1.00;0;0;0;0;0;0;0;1;0;0;20.02;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10028 - Petrify Grenade
10029;10029;-1;10029;200;10001;3;1.00;0;0;0;0;0;0;0;1;0;0;20.03;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10029 - Silence Grenade
10030;10030;-1;10030;200;10001;8;1.00;0;0;0;0;0;0;0;1;0;0;20.04;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10030 - Smoke Bomb
10031;10031;-1;10031;200;10001;4;1.00;0;0;0;0;0;0;0;1;0;0;20.05;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10031 - Trouble Bomb
10032;10032;-1;10032;200;10001;6;1.00;0;0;0;0;0;0;0;1;0;0;20.06;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10032 - Poison Grenade
10033;10033;-1;10033;200;10001;5;1.00;0;0;0;0;0;0;0;1;0;0;20.07;CommandId == 10015 || CommandId == 10016;0;0;0;0;0;0;0;0;0;0;0;0;# 10033 - Sleeping Powder
#! -IncludeUseCondition
10034;-1;10034;-1;1000;19;6;109.01;91;AA:10062, AA:10014, SA:11;0;0;0;1;0;0;0;0;197.01;0;0;0;0;1;0;0;0;0;0;0;0;# 10034 - Burmecian Plate
10035;10035;-1;-1;1200;12;0;1.01;0;AA:10083;1;0;0;0;0;0;0;0;105.08;0;0;0;0;0;0;0;0;0;0;0;0;# 10035 - Shuriken
10036;10036;-1;-1;1800;12;0;1.02;0;AA:10084;1;0;0;0;0;0;0;0;105.09;0;0;0;0;0;0;0;0;0;0;0;0;# 10036 - Magic Shuriken
10037;10037;-1;-1;2650;12;0;1.03;0;AA:10086;1;0;0;0;0;0;0;0;105.10;0;0;0;0;0;0;0;0;0;0;0;0;# 10037 - Rogetsurin
10038;10038;-1;-1;6000;12;0;1.04;0;AA:10085;1;0;0;0;0;0;0;0;105.11;0;0;0;0;0;0;0;0;0;0;0;0;# 10038 - Crystal Cross
