# This file contains a set of learnable abilities for a custom character.
# -----------------------------------
# Id;AP
# Ability;UInt8
# -----------------------------------
AA:10099;40;# Savage Blow
AA:10100;30;# Gravity Crush
AA:10101;45;# Wild Strike
AA:10102;60;# Bloodlust
AA:10103;80;# Absorb Strength
AA:10104;25;# Execute
AA:10105;55;# Double Cut
AA:10106;100;# Titan's Wrath
SA:0;150;# Auto-Reflect
SA:1;100;# Auto-Float
SA:2;150;# Auto-Haste
SA:3;20;# Auto-Regen
SA:4;80;# Auto-Life
SA:5;35;# HP+10%
SA:6;0;# HP+20%
SA:9;65;# Accuracy+
SA:12;20;# MP Attack
SA:14;30;# Bug Killer
SA:15;45;# Stone Killer
SA:16;40;# Undead Killer
SA:17;80;# Dragon Killer
SA:18;40;# Devil Killer
SA:19;20;# Beast Killer
SA:20;50;# Man Eater
SA:35;120;# High Tide
SA:37;60;# Cover
SA:38;50;# Protect Girls
SA:40;30;# Body Temp
SA:43;50;# Level Up
SA:44;70;# Ability Up
SA:48;25;# Insomniac
SA:49;30;# Antibody
SA:50;40;# Bright Eyes
SA:52;125;# Restore HP
SA:53;30;# Jelly
SA:56;80;# Auto-Potion
SA:57;45;# Locomotion
SA:58;35;# Clear Headed
SA:10006;70;# Agitator
0;0;# Void
0;0;# Void
0;0;# Void
0;0;# Void
0;0;# Void
0;0;# Void
0;0;# Void
0;0;# Void
0;0;# Void
