#! IncludeId
# This file contains battle commands.
# -----------------------------------------------
# Id;Type;Ability;Abilities
# Int32;UInt8;Int32;Int32[]
# -----------------------------------------------
10000;1;25;25, 26, 27, 29, 30, 31, 33, 34, 35, 10002, 10003, 10004, 45, 10000, 10001, 10005, 7, 16;# Grn Mag
10001;0;10006;;# Grn Fury
10002;0;10007;;# Hunt
10003;1;2;2, 33, 34, 35, 41, 42, 47, 10009;# Sorcery
10004;1;3;3, 34, 35, 24, 10008, 46, 10009, 10010;# Sorcery
10005;0;10011;;# Rampage
10006;1;0;;# Rampage
10007;1;49;49, 51, 53, 66, 55, 58, 60, 62, 74, 64;# Summon
10008;1;10012;10012, 10013, 10014, 141, 10015, 10016, 149, 10017;# Bladecraft
10009;0;10018;;# Enrage
10010;0;10019;;# Warcry
10011;1;10020;10020, 10021, 10022, 10023, 10024, 10025, 148, 150;# Strategy
10012;0;10026;;# Javelin
10013;0;10027;;# Spear Raid
10014;1;10028;10028, 10029, 10030, 10031, 10032, 149, 152, 10033;# Talon Art
10015;1;10034;10034, 10035, 10036, 10037, 10038, 10039, 10040, 10041, 10042;# Grenade
10016;1;10043;10043, 10044, 10045, 10046, 10047, 10048, 10049, 10050, 10051;# Bombard
10017;1;10052;10052, 10053, 10054, 10055, 10056, 10057, 10058, 10059;# Glacial Arts
10018;0;10060;;# Mark
