# This file define basic parameters of characters.
# -----------------------------------------------
# Id;DefaultRow;DefaultWinPose;DefaultCategory;DefaultCommandSet;DefaultEquipmentSet;BattleParameterFormula;NameKeyword
# Int32;Boolean;Boolean;UInt8;Int32;Int32;String;String
# -----------------------------------------------
12;0;1;9;20;16;19;KUJA;# Kuja
13;1;1;5;21;17;20;FRTL;# Fratley
14;1;1;6;22;18;21;LANI;# Lani
15;1;1;5;23;19;22;HAGN;# Haagen
16;1;1;5;24;20;23;KOHL;# Kohel
17;1;1;6;25;21;24;ARIA;# Aria
18;1;1;6;26;22;25;OPHL;# Ophelia
19;1;1;5;27;23;26;CH19;# Dan
20;0;1;6;28;24;27;JEAM;# Jeame
21;0;1;5;29;25;28;PUCK;# Puck
22;0;1;10;30;26;29;CH22;# Mikoto
23;1;1;5;31;27;30;GERM;# Gerome
24;0;1;6;32;28;31;RUBY;# Ruby
25;1;1;5;33;29;32;BAKU;# Baku
