#! IncludeId
# This file contains battle commands.
# -----------------------------------------------
# Id;Type;Ability;Abilities
# Int32;UInt8;Int32;Int32[]
# -----------------------------------------------
10000;1;25;25, 26, 27, 29, 30, 31, 33, 34, 35, 10002, 10003, 10004, 45, 10000, 10001, 10005, 7, 16;# Grn Mag
10001;0;10006;;# Grn Fury
10002;0;10007;;# Hunt
10003;1;2;2, 33, 34, 35, 41, 42, 47, 10009;# Sorcery
10004;1;3;3, 34, 35, 24, 10008, 46, 10009, 10010;# Sorcery
10005;0;10011;;# Rampage
10006;1;0;;# Rampage
10007;1;49;49, 51, 53, 66, 55, 58, 60, 62, 74, 64;# Summon
10008;1;10012;10012, 10013, 10014, 141, 10015, 10016, 149, 10017;# Bladecraft
10009;0;10018;;# Enrage
10010;0;10019;;# Warcry
10011;1;10020;10020, 10021, 10022, 10023, 10024, 10025, 148, 150;# Strategy
10012;0;10026;;# Javelin
10013;0;10027;;# Spear Raid
10014;1;10028;10028, 10029, 10030, 10031, 10032, 149, 152, 10033;# Talon Art
10015;3;10034;-1;# Grenade
10016;3;10035;-1;# Bombard
10017;1;10052;10052, 10053, 10054, 10055, 10056, 10057, 151, 10059;# Glacial Arts
10018;0;10060;;# Mark
10019;1;10061;10061, 10062, 10063, 10064, 10065, 10066, 10067, 10068;# Debilitate
10020;0;10069;;# Exploit
10021;0;10069;;# Exploit+
10022;1;10071;10071, 10072, 10073, 10074, 10075, 10076, 10077, 10078;# Dance
10023;1;10071;10071, 10072, 10073, 10074, 10075, 10076, 10077, 10078;# Dbl Dance
10024;0;10079;;# Repose
10025;1;10080;10080, 10081, 25, 26, 28, 29, 30, 32, 33, 34, 36, 37, 39, 40, 42, 44, 45, 10002, 10003, 1, 2, 4, 5, 7, 8, 9, 11, 12, 13;# Red Mag
10026;1;10080;10080, 10081, 25, 26, 28, 29, 30, 32, 33, 34, 36, 37, 39, 40, 42, 44, 45, 10002, 10003, 1, 2, 4, 5, 7, 8, 9, 11, 12, 13;# Dbl Red Mag
10027;1;10082;10082, 10083, 10084, 10085, 10086, 10087, 10088, 10089;# Shinobi
10028;1;10090;10090, 10091, 10092, 10093, 10094, 10095, 10096, 10097;# Ninja
10029;1;10099;10099, 10100, 10101, 10102, 10103, 10104, 10105, 10106;# Primal
10030;0;10107;;# Provoke
10031;0;10108;;# Taunt
10032;0;10036;;# Mug
10033;1;10109;10109, 10110, 10111, 10112, 10113, 10114, 10115, 10116;# Theatrics
10034;1;10117;10117, 10118, 10119, 10120, 10121, 10122, 10123, 10124;# Theatrics!
10035;0;10125;;# Smash
10036;1;10126;10126, 10127, 10128, 10129, 10130, 10131, 10132, 10133;# Boss
10037;0;10134;;# Keen Eye
