# This file contains predefined equipment sets.
# -----------------------------------------------
# Comment;Id;Weapon;Head;Wrist;Armor;Accessory
# String;Int32;Int32;Int32;Int32;Int32;Int32
# -----------------------------------------------
Equip Set 16;16;70;112;-1;149;-1;# Equip Set 16 (Mage Staff, Leather Hat, Leather Shirt)
Equip Set 17;17;31;114;89;149;-1;# Equip Set 17 (Javelin, Feather Hat, Leather Wrist, Leather Shirt)
Equip Set 18;18;10000;114;90;150;230;# Equip Set 18 (Battle Axe, Feather Hat, Glass Armlet, Silk Shirt, Ruby)
Equip Set 19;19;16;136;102;177;-1;# Equip Set 19 (Broadsword, Rubber Helm, Bronze Gloves, Bronze Armor)
Equip Set 20;20;10008;136;102;177;-1;# Equip Set 20 (Pike, Rubber Helm, Bronze Gloves, Bronze Armor)
Equip Set 21;21;10010;112;88;149;-1;# Equip Set 21 (Fang Claws, Leather Hat, Wrist, Leather Shirt)
Equip Set 22;22;16;136;102;177;-1;# Equip Set 22 (Broadsword, Rubber Helm, Bronze Gloves, Bronze Armor)
Equip Set 23;23;1;112;88;149;-1;# Equip Set 23 (Dagger, Leather Hat, Wrist, Leather Shirt)
Equip Set 24;24;10025;112;88;149;-1;# Equip Set 24 (Burmecian Racket, Leather Hat, Wrist, Leather Shirt)
Equip Set 25;25;70;112;88;149;-1;# Equip Set 25 (Mage Staff, Leather Hat, Wrist, Leather Shirt)
Equip Set 26;26;10027;112;88;149;-1;# Equip Set 26 (Disc, Leather Hat, Wrist, Leather Shirt)
Equip Set 27;27;-1;-1;-1;-1;-1;# Equip Set 27
Equip Set 28;28;-1;-1;-1;-1;-1;# Equip Set 28
Equip Set 29;29;-1;-1;-1;-1;-1;# Equip Set 29
