#! IncludeId
# This file contains character command sets.
# -----------------------------------------------
# Id;Regular 1;Regular 2;Trance 1;Trance 2
# Int32;Int32;Int32;Int32;Int32
# -----------------------------------------------
0;2;25;2;26;# Zidane's: Steal, Skill, Steal, Dyne
1;22;13;23;13;# Vivi's: Blk Mag, Focus, Dbl Blk, Focus
2;16;17;18;17;# Dagger's: Summon, Wht Mag, Eidolon, Wht Mag
3;30;31;30;31;# Steiner's: Swd Art, Swd Mag, Swd Art, Swd Mag
4;3;27;12;27;# Freya's: Jump, Dragon, Jump, Dragon
5;8;24;9;24;# Quina's: Eat, Blu Mag, Cook, Blu Mag
6;19;20;21;20;# Eiko's: Wht Mag, Summon, Dbl Wht, Summon
7;28;15;29;15;# Amarant's: Flair, Throw, Elan, Throw
8;2;0;2;0;# Cinna's (1): Steal, , Steal, 
9;2;0;2;0;# Cinna's (2): Steal, , Steal, 
10;2;0;2;0;# Marcus's (1): Steal, , Steal, 
11;2;0;2;0;# Marcus's (2): Steal, , Steal, 
12;2;0;2;0;# Blank's (1): Steal, , Steal, 
13;2;0;2;0;# Blank's (2): Steal, , Steal, 
14;32;34;32;34;# Beatrix's (1): Seiken, Wht Mag, Seiken, Wht Mag
15;33;34;33;34;# Beatrix's (2): Seiken, Wht Mag, Seiken, Wht Mag
16;41;0;41;0;# Theater Zidane's: SFX, , SFX, 
17;44;0;44;0;# Theater Cinna's: SFX, , SFX, 
18;43;0;43;0;# Theater Marcus's: SFX, , SFX, 
19;42;0;42;0;# Theater Blank's: SFX, , SFX, 
20;10003;10007;10004;10007;# Command set 20: Sorcery, Summon, Sorcery, Summon
21;10005;27;10005;27;# Command set 21: Rampage, Dragon, Rampage, Dragon
22;10000;10002;10000;10002;# Command set 22: Grn Mag, Hunt, Grn Mag, Hunt
23;10008;10009;10008;10010;# Command set 23: Bladecraft, Enrage, Bladecraft, Warcry
24;10011;10012;10011;10013;# Command set 24: Strategy, Javelin, Strategy, Spear Raid
25;10014;10015;10014;10016;# Command set 25: Talon Art, Grenade, Talon Art, Bombard
26;10017;10018;10017;10018;# Command set 26: Glacial Arts, Mark, Glacial Arts, Mark
#! IncludeFullSet
27;10032;4;10019;10020;14;7;10032;4;10019;10021;14;7;# Command set 27: Mug(Attack), Debilitate, Exploit, Mug(Attack), Debilitate, Exploit+
#! -IncludeFullSet
28;10022;10024;10023;10024;# Command set 28: Dance, Repose, Dbl Dance, Repose
29;10025;13;10026;13;# Command set 29: Red Mag, Focus, Dbl Red Mag, Focus
30;10027;15;10028;15;# Command set 30: Shinobi, Throw, Ninja, Throw
31;10029;10030;10029;10031;# Command set 31: Primal, Provoke, Primal, Taunt
32;10033;10035;10034;10035;# Command set 32: Theatrics, Smash, Theatrics!, Smash
33;10036;10037;10036;10037;# Command set 33: Boss, Keen Eye, Boss, Keen Eye
